ID_REF	Mann1_4hr	Mann1_12hr	Mann1_24hr	Mann2_4hr	Mann2_12hr	Mann2_24hr	Mann3_4hr	Mann3_12hr	Mann3_24hr	MGd1_4hr	MGd1_12hr	MGd1_24hr	MGd2_4hr	MGd2_12hr	MGd2_24hr	MGd3_4hr	MGd3_12hr	MGd3_24hr
200015_s_at	2335.1	2155.1	2479.2	2512.3	2866.4	1689.8	2497.6	2324.9	2471.7	2290.1	2849.5	2467.9	2166.5	2458.6	2266.6	2311.9	2959.3	2325.1
200016_x_at	8152.6	6568.0	7170.2	5207.2	5878.9	6509.8	6128.6	5616.8	6493.5	7897.3	7513.4	7886.9	5795.8	6404.4	7452.7	6246.8	5276.6	7031.8
200017_at	9325.7	6595.9	9301.0	7050.1	7924.5	7874.5	9180.0	13510.3	10134.0	8980.1	7870.3	8776.2	7924.8	7069.2	7810.9	8051.8	7922.2	10303.9
200018_at	13395.8	14470.2	13649.2	13164.2	13814.7	13217.1	14129.3	14519.7	14174.3	12283.3	14460.5	15060.7	14218.3	14662.2	13180.0	13429.3	13052.2	14379.6
200019_s_at	8892.1	7511.2	8303.3	8993.9	8961.1	12247.9	10712.7	8062.1	6898.8	8767.3	10713.6	9036.7	8329.2	9961.3	9175.5	9184.5	11576.2	9037.4
200020_at	669.8	672.9	595.8	791.0	768.2	687.2	960.6	712.5	897.4	549.9	567.6	625.5	681.9	922.5	583.4	787.3	855.7	845.5
200021_at	12501.9	8974.5	9047.7	7888.4	13081.8	6259.0	10175.2	13442.2	14125.9	12798.6	12592.0	11247.2	12243.0	11379.4	10934.9	12171.9	11195.8	14458.3
200022_at	11183.6	11885.5	12254.4	14827.9	13656.0	12224.2	14179.9	12630.9	11050.7	9536.3	12050.9	10495.6	14244.5	12323.7	11551.8	14210.7	14007.8	13195.0
200023_s_at	2868.1	2710.6	3365.1	3270.8	3230.4	3482.8	3364.6	3005.7	3234.5	2885.2	3088.1	3253.0	3566.4	3435.2	3015.0	3255.8	3166.9	3341.5
200024_at	12808.4	12806.8	14253.7	13974.1	11322.2	13575.2	14013.9	12830.6	11528.1	13047.5	14948.1	13090.4	11905.2	12523.8	15538.7	12469.8	15288.1	13969.1
200025_s_at	15706.8	14727.5	14617.3	15784.0	17563.2	12458.0	15072.0	16500.8	16535.9	13216.2	15554.2	16019.0	18938.7	14751.9	15455.7	16818.4	15137.8	20001.1
200026_at	7013.7	6268.0	9177.1	8603.8	11643.8	6090.9	8327.4	9426.2	4903.3	4550.9	7442.5	5588.6	11469.1	8474.0	8917.8	8249.6	6987.2	8219.4
200027_at	2295.8	2171.5	2548.9	1470.1	2175.0	1789.7	1724.9	1905.0	2086.7	2455.8	2533.5	2545.2	1960.5	1849.7	2264.9	2005.5	1813.4	2100.1
200028_s_at	1697.2	963.5	1144.8	1114.2	1321.2	1224.6	1406.4	1161.6	1200.7	880.0	1543.6	1395.4	1202.3	1369.8	1053.0	1348.9	1559.4	1576.6
200029_at	13496.6	11561.4	13005.5	14182.4	12689.9	13128.9	12655.9	13323.3	11242.2	11232.3	11905.7	13215.1	13419.0	14893.7	12831.9	12451.9	12868.5	14520.2
200030_s_at	8005.2	7186.9	8168.8	7768.9	7854.6	6714.0	7717.8	6949.8	7483.1	6662.2	7832.6	7390.9	7537.5	7626.0	6609.0	7166.1	7526.6	7961.5
200031_s_at	20523.7	17238.8	18924.2	22415.6	19023.7	19549.1	21152.3	23332.5	18750.2	18411.9	20801.9	19665.7	21207.0	20415.7	19317.9	18363.2	19889.1	21729.3
200032_s_at	13962.8	14417.6	13396.1	9747.0	12460.8	10952.1	10009.5	11206.2	12506.4	13132.1	13735.5	12535.7	13051.3	11040.1	13231.1	11241.6	9828.0	12668.1
200033_at	3561.5	3663.2	3582.8	2412.3	3250.8	2122.4	2893.3	2649.1	3017.9	3522.3	3375.5	3408.7	3101.5	2213.3	2956.4	2499.6	2069.3	2905.1
200034_s_at	8265.2	8404.0	7689.0	7983.7	7236.0	5990.4	10018.0	8924.8	8362.6	8552.3	8813.1	7732.6	8906.3	9143.0	8533.0	7981.3	8603.8	10261.6
200035_at	911.9	779.0	1337.4	807.2	1045.6	784.1	903.3	874.0	998.8	620.4	746.9	618.8	1055.4	1464.3	702.2	677.9	843.9	928.9
200036_s_at	6686.9	6728.8	7206.7	8021.6	8694.4	7452.5	8550.0	8464.1	6394.2	6789.0	8075.8	7424.9	6749.7	7159.5	7538.8	7731.9	8915.7	7754.4
200037_s_at	1109.7	1050.3	1146.9	757.4	1051.4	524.4	630.4	889.2	1321.7	1315.4	871.0	1059.8	831.0	524.0	761.8	907.5	781.0	986.9
200038_s_at	9884.1	10397.5	9726.9	7863.1	9965.9	7835.1	8494.2	9381.3	8927.0	8688.5	10417.2	9275.6	9257.6	9009.7	10456.6	8184.7	7650.0	9840.2
200039_s_at	1376.2	1405.8	1330.1	1041.3	1591.5	1152.1	1797.8	1335.4	1498.3	1369.2	1283.4	1400.7	1338.5	1386.0	1077.7	1312.2	1390.0	1411.2
200040_at	1089.5	1326.2	1335.1	957.2	1063.7	934.9	960.2	1129.9	1008.8	1055.6	968.8	1076.8	1064.1	962.7	1226.6	1028.3	999.8	1074.7
200041_s_at	2206.4	1929.3	2335.5	1819.5	2214.0	1944.3	2494.1	2178.6	2190.4	1954.5	2005.5	2238.7	2186.1	2056.7	1791.0	2607.2	2431.2	2735.5
200042_at	663.3	799.8	618.5	810.3	715.5	576.8	862.9	673.2	769.2	854.6	846.9	728.8	574.8	715.3	729.2	544.6	817.9	747.6
200043_at	3363.7	2600.3	3499.6	2221.4	3075.2	2023.9	2442.3	2357.9	3068.8	3754.5	2927.2	3028.9	2670.1	2120.7	2878.9	3106.6	2075.1	2904.2
200044_at	1222.6	1089.7	1346.3	1528.4	1491.6	1123.4	1331.5	1241.2	1369.9	1481.0	1253.6	2334.4	1149.3	1443.0	1407.1	1267.9	1072.6	1214.7
200045_at	433.2	495.7	548.7	461.8	479.6	728.1	696.4	571.0	499.8	430.5	574.9	436.1	271.0	514.1	562.6	541.4	535.9	498.9
200046_at	2447.9	2153.1	2025.1	2351.5	2415.9	2066.4	2040.2	1776.1	2030.0	2297.3	2015.9	2013.6	2068.3	1989.2	1714.4	1949.1	2094.2	2063.8
200047_s_at	561.6	650.1	533.0	320.7	616.2	464.4	476.7	438.2	719.1	726.5	665.0	606.7	398.1	437.8	476.5	699.7	398.2	405.2
200048_s_at	2573.0	1944.2	2182.8	2370.6	2179.6	1853.5	2624.4	2890.6	2307.6	2437.1	2925.7	2366.4	2009.5	2639.3	2676.2	2317.4	2584.5	2794.1
200049_at	330.0	398.6	291.2	344.3	255.7	284.6	422.0	283.0	314.4	373.5	329.4	426.8	360.7	479.9	285.4	373.9	322.1	219.7
200050_at	935.8	994.3	1257.4	512.5	926.6	775.7	811.0	751.1	945.8	1321.5	1188.1	1217.3	534.1	528.1	1049.6	727.0	544.7	747.1
200051_at	339.7	282.6	259.5	217.1	344.0	433.1	421.2	354.8	256.2	295.3	272.3	334.0	274.0	360.5	477.5	173.8	394.3	300.9
200052_s_at	614.1	542.9	727.3	637.2	556.2	518.3	757.3	769.7	772.5	800.4	823.9	693.0	754.6	555.1	660.9	620.7	711.9	797.0
200053_at	1282.8	969.0	1090.1	1287.1	963.5	1007.9	1571.6	1073.6	850.1	1296.9	1109.0	1136.3	892.4	1596.0	989.0	1215.4	1368.9	1110.9
200054_at	216.7	321.9	197.4	206.8	219.9	148.5	223.5	297.2	485.9	362.3	275.1	244.8	468.0	229.9	221.1	370.3	272.1	397.6
200055_at	2116.3	1904.3	1947.4	2879.5	2627.5	2391.2	2373.0	2704.0	2560.5	2267.0	2428.3	2087.0	2927.7	2588.6	2608.8	2007.9	2874.1	2832.9
200056_s_at	378.9	221.8	199.3	219.8	248.7	236.8	191.9	240.2	244.2	337.2	193.6	201.9	254.3	82.6	191.2	232.0	189.0	281.1
200057_s_at	4450.9	4912.7	5577.3	3934.5	4578.5	4247.0	4443.8	4425.8	4445.9	4859.6	4984.3	4350.5	4437.3	4493.9	4770.9	3928.6	4390.9	4238.6
200058_s_at	1190.1	1184.4	1426.3	1130.8	1360.5	1376.7	1415.6	1418.2	1359.7	1064.6	1250.6	1316.0	1121.6	1157.9	1029.1	1727.4	1674.1	1776.6
200059_s_at	4080.4	2699.7	4288.2	2182.0	2727.7	1990.9	2389.2	2622.6	2857.4	3431.5	3278.0	3811.1	2388.5	1959.3	3221.1	3230.5	2193.2	2700.4
200060_s_at	1494.1	1343.1	1428.0	1167.6	868.8	1542.2	1440.7	1070.2	1133.2	1378.5	1240.2	1675.1	926.7	1129.8	1355.1	1199.3	1251.5	1082.3
200061_s_at	13876.7	14120.4	13952.0	15204.0	14864.7	14840.0	14008.4	13074.7	14273.5	13142.3	13309.7	12914.4	14997.8	17114.7	13784.0	13541.7	13329.2	15735.9
200062_s_at	18685.9	17901.6	19988.8	19139.8	19990.3	18794.5	18039.7	18340.7	19076.7	18103.6	19101.4	19448.3	20164.0	23858.1	19915.0	18558.2	16072.2	20903.4
200063_s_at	6365.1	5433.5	6672.3	4737.8	6178.5	5865.5	4414.3	5239.0	4576.3	6444.3	6638.3	6585.4	5814.3	3358.9	6522.6	3817.9	4598.8	4906.7
200064_at	5348.1	5801.6	5522.9	6516.5	6078.2	6488.6	6178.3	5873.7	4584.8	4696.0	5893.5	5256.6	6792.8	7361.5	5515.1	5899.9	7511.8	5943.5
200065_s_at	3275.4	2916.2	3594.7	2325.7	2733.9	2693.6	2357.5	2970.0	2234.7	3698.6	2527.1	3382.2	2324.4	2261.6	2724.0	2023.5	1847.4	2211.5
200066_at	784.1	274.7	622.5	696.4	806.8	653.6	582.8	678.0	526.2	745.3	628.7	640.4	688.3	468.7	504.7	590.0	778.7	765.4
200067_x_at	1127.1	1055.1	753.6	810.8	911.7	963.4	837.8	1168.6	1401.0	1170.3	871.4	841.2	981.4	719.0	1116.3	1244.6	810.5	1062.1
200068_s_at	5812.4	5335.0	4958.9	4930.7	5293.5	4922.0	5030.0	5142.7	4239.6	5176.6	5053.7	5366.0	5398.3	6285.5	4748.2	5576.9	4318.0	4413.4
200069_at	212.6	159.9	146.7	125.4	59.4	167.6	176.1	234.3	146.4	76.4	126.3	172.5	220.3	212.0	146.0	190.2	76.2	119.4
200070_at	270.3	142.4	301.5	322.7	279.6	150.1	50.0	126.2	295.5	159.7	200.1	287.6	292.5	261.4	179.5	335.4	238.9	239.3
200071_at	369.0	505.4	351.6	228.5	286.2	128.9	304.7	251.2	425.1	462.7	431.1	475.9	50.0	241.3	477.5	451.4	305.6	525.6
200072_s_at	764.6	916.2	865.4	714.8	860.0	838.8	875.9	732.2	678.4	878.8	846.8	849.1	487.8	959.4	907.7	764.8	1002.9	803.6
200073_s_at	678.8	665.3	559.2	491.6	456.8	444.8	421.4	365.6	412.7	1025.4	715.4	1002.4	402.4	95.5	701.5	472.0	294.5	493.8
200074_s_at	2950.6	3754.8	3400.5	4073.9	4024.9	3199.7	3901.4	2882.9	3176.6	2755.2	3339.6	3036.6	4108.5	4333.0	3966.3	4015.7	4385.8	4250.3
200075_s_at	294.4	333.6	398.8	442.7	341.4	558.5	397.9	335.5	289.5	248.5	335.8	431.4	316.8	294.3	431.8	430.9	526.2	509.7
200076_s_at	444.0	478.7	704.5	651.1	674.5	671.7	585.2	555.8	368.4	534.5	508.6	406.7	529.6	533.7	600.9	523.4	726.1	620.2
200077_s_at	2780.1	2898.9	3232.2	2210.5	2963.1	2781.1	2516.6	2357.0	2518.0	3007.7	2876.2	2905.4	2394.1	2342.3	3185.5	2043.3	2581.5	2702.1
200078_s_at	614.2	770.1	877.1	766.4	859.1	745.9	876.6	615.8	614.2	924.3	882.3	910.2	992.9	1038.0	714.8	599.8	866.4	696.0
200079_s_at	1400.3	1404.2	1295.9	1457.6	1706.0	1353.0	2007.3	1608.1	1515.2	1472.5	1501.7	1640.5	1774.1	1482.8	1689.0	1982.6	1725.6	2012.0
200080_s_at	2751.4	3597.6	2621.2	1611.2	2734.8	2156.2	2305.6	2668.3	2680.5	3485.6	3319.3	3173.6	2553.0	1229.8	2980.6	2581.8	2064.8	1971.2
200081_s_at	18266.6	17055.3	16875.4	16802.4	17688.0	16374.1	15419.1	15871.0	15240.8	15716.0	17743.3	18209.8	18220.5	17088.3	17981.6	16495.8	15829.7	18316.0
200082_s_at	11723.8	13501.6	14002.5	12746.6	13880.8	12552.6	10760.0	10723.1	14329.6	12882.5	12523.4	11022.1	13520.1	13071.5	13849.2	11941.4	11716.3	15042.8
200083_at	1126.5	717.1	998.0	700.4	1043.4	857.3	1092.8	1083.0	961.6	851.4	914.0	1040.8	1007.4	1082.7	1099.7	847.4	1095.0	1217.5
200084_at	1934.3	1344.5	1473.2	1075.8	1341.5	1153.4	1074.8	1343.9	1491.5	1783.1	1467.3	1640.7	1341.9	860.9	1538.6	1004.9	926.6	959.2
200085_s_at	2410.3	2058.3	2867.6	2728.8	2780.7	2150.6	2802.3	2232.6	2431.0	2118.4	2476.7	2290.2	2617.1	3208.6	2262.0	2668.0	3281.9	2883.6
200086_s_at	2523.7	2349.1	2580.5	2594.0	3085.4	2919.9	2014.6	2111.8	2080.4	2037.5	2454.3	1962.4	2883.6	3703.2	2487.4	3047.0	2637.1	2214.3
200087_s_at	3318.7	3045.1	3004.5	2180.2	3038.2	2237.8	2472.3	2279.2	2704.1	3194.3	2937.7	2933.8	2616.9	1909.5	2480.1	2445.5	1802.6	2174.8
200088_x_at	16785.2	17765.4	16831.9	19950.3	17741.7	19225.3	19934.3	19206.4	15303.0	17904.5	19899.5	17294.5	19572.2	22489.8	20303.5	17728.6	21750.7	18842.7
200089_s_at	8023.1	9679.3	7839.3	9540.2	9900.1	9065.5	7803.3	6801.4	7552.2	8264.0	8353.2	8156.9	8373.3	9686.9	8821.3	8291.5	8425.5	7754.3
200090_at	1025.7	1119.6	1141.0	928.7	1083.2	828.6	1106.0	896.3	1077.1	1025.8	1114.0	1400.8	1211.5	825.4	1031.9	983.0	766.0	1162.6
200091_s_at	3657.5	3776.3	3453.5	2614.4	3255.6	2480.2	2887.0	3039.3	3453.6	4906.4	3748.6	3856.2	2368.7	1362.5	3563.5	2754.2	2066.3	3346.0
200092_s_at	9866.9	10550.0	9063.4	8515.3	11568.2	9171.8	10692.0	9857.6	10328.8	9564.2	10216.7	9911.4	10885.6	8313.6	9370.9	9880.0	7427.0	9123.0
200093_s_at	3685.9	3073.2	3222.9	3536.4	3887.9	2429.8	3059.2	2610.1	3311.3	3380.6	3358.7	3336.7	3152.0	2371.6	3424.5	3351.1	2448.1	3102.6
200094_s_at	6714.0	7132.6	7315.8	8722.9	8281.8	7066.7	7749.4	6878.2	5917.0	5492.7	8135.2	6978.7	9599.5	9431.9	9246.7	7422.1	7301.0	7129.8
200095_x_at	24708.3	19915.5	22262.5	26411.0	23836.7	26609.5	24140.0	25841.7	22742.4	18867.1	24898.8	23901.1	26319.6	29944.2	23817.8	23904.8	28077.6	27030.0
200096_s_at	1135.2	1277.0	1119.3	1070.7	1224.9	1328.6	1132.0	1096.1	1155.6	1261.7	1224.9	1356.8	911.6	862.5	1205.4	1060.7	1051.3	1220.3
200097_s_at	1429.3	1271.9	1126.3	614.7	1287.1	939.5	956.4	1058.0	1301.3	1240.5	1452.0	1342.3	600.8	739.0	1051.1	1110.6	794.0	851.0
200098_s_at	1098.3	1410.0	1554.9	1306.6	1313.4	1361.2	1251.6	1009.3	1409.3	1165.7	1264.7	1314.6	1230.9	1646.1	1079.9	1189.6	1690.2	1644.9
200099_s_at	13361.7	13229.2	12926.1	12068.2	13098.8	10907.8	10819.3	11155.3	13091.5	12773.6	13315.2	12716.1	12835.9	10447.6	11369.8	12335.6	9877.4	12946.9
