GeneID	285_D2	285_D5	285_D14	BM45_D2	BM45_D5	BM45_D14	DV10_D2	DV10_D5	DV10_D14	EC1118_D2	EC1118_D5	EC1118_D14	VIN13_D2	VIN13_D5	VIN13_D14	
YLR253W	484.871000	693.617333	304.356000	401.381333	734.583667	202.081500	477.865333	1144.691000	512.195000	532.105667	644.391000	502.443333	470.261000	720.926667	502.808000	
YLR254C	352.337333	1286.620000	1535.670000	413.850667	1404.640000	1787.470000	543.858333	1231.239667	2208.926667	420.223333	1132.660000	2453.326667	302.362000	1306.866667	1941.283333	
YLR256W	670.795333	2751.786667	5647.090000	1080.582667	3230.973333	6319.725000	754.061000	3511.896667	4236.463333	1060.528333	2445.656667	4415.120000	908.869667	2753.460000	5313.050000	
YLR257W	975.255333	3398.030000	8554.510000	901.591000	3919.820000	9070.265000	1568.960000	4754.983333	7861.673333	1074.004333	4097.733333	5571.350000	985.039000	4443.713333	6527.633333	
YLR258W	721.687000	2182.243333	3230.570000	903.222667	1759.543333	1652.885000	1141.070333	3675.986667	2882.803333	817.881333	2741.150000	2475.386667	797.995667	3273.720000	3833.150000	
YLR259C	2457.463333	5490.390000	12167.750000	2556.040000	5035.423333	15366.500000	2994.670000	8415.116667	14591.400000	3652.996667	5430.403333	14334.600000	3843.896667	5540.396667	12954.966667	
YLR260W	418.871333	726.965333	2097.650000	501.583667	595.312667	1861.285000	359.723333	957.853333	1736.650000	459.699667	674.356000	1946.260000	438.097333	774.320333	2358.700000	
YLR262C	780.730000	468.111333	85.993750	763.382667	542.321000	67.593750	790.276667	622.466333	204.232000	693.598333	483.992000	310.918000	876.080333	528.763000	114.471000	
YLR262C-A	1557.863333	517.931333	310.565500	1386.776667	629.898333	283.061500	1605.936667	767.069000	335.426000	1547.513333	549.665333	429.139667	1944.333333	658.515333	266.537000	
YLR263W	99.359733	106.497267	70.019450	151.925333	138.355633	63.969150	94.745600	220.736667	135.338433	148.961000	185.990333	210.531667	160.384333	99.715933	78.230500	
YLR264C-A	1457.623333	679.841000	60.070500	829.870333	557.086333	326.386000	1531.413333	544.140000	81.727233	1411.722000	429.026333	217.140000	1926.500000	720.192000	154.142133	
YLR264W	4630.493333	680.877667	62.482050	3525.960000	824.963000	88.250250	4207.803333	485.312000	72.963467	3836.143333	415.543000	88.728500	4767.776667	730.246333	72.873000	
YLR265C	8.188447	3.688053	9.145370	8.299813	5.925129	53.603750	14.253233	8.005927	11.677190	14.519600	5.675521	37.357500	14.615500	7.838653	13.350253	
YLR266C	137.297333	102.809733	124.042000	171.367333	160.470333	82.058000	145.089667	196.916000	106.953933	186.625333	141.573333	113.575000	182.784333	168.284000	125.153667	
YLR267W	57.858033	143.459333	141.296000	65.364600	123.781000	56.336400	59.226400	172.502000	171.422333	51.914300	123.093333	80.181400	30.604400	121.690667	203.728133	
YLR268W	1049.610000	860.693333	156.375000	1464.336667	1392.186667	79.178650	943.769333	1310.122000	275.902333	951.819000	953.188333	315.245000	864.413667	1101.709333	203.492667	
YLR270W	1253.163333	2725.550000	2013.495000	1133.128667	2622.906667	1412.565000	1225.450333	3332.393333	2181.026667	1089.893333	2565.040000	1610.296667	1240.720000	3004.036667	2547.440000	
YLR271W	235.940667	324.370333	401.575000	207.704000	298.516333	238.564000	408.742000	608.794667	573.452667	328.328333	411.731667	557.091000	250.490000	460.861667	438.101333	
YLR272C	509.634000	446.163667	83.834600	559.879667	455.805667	105.540200	489.120000	701.962000	136.785333	606.641333	460.474000	178.088333	643.277000	398.301333	118.054667	
YLR273C	281.818667	270.514000	83.224800	337.894667	309.646333	33.291600	274.396333	395.415000	138.644667	259.555333	275.528667	110.238633	220.670667	258.358000	121.334767	
YLR274W	455.475000	236.129333	51.396550	605.749667	296.798000	69.129150	408.388333	279.181333	62.264900	617.604667	222.131000	98.062633	401.823667	286.526333	57.732500	
YLR275W	496.781333	661.830667	636.621500	594.727000	934.568333	779.796500	597.252000	992.653333	730.716333	529.389333	683.875333	940.148333	521.172333	779.944333	496.361667	
