ID_REF,Mann1_4hr,Mann1_12hr,Mann1_24hr,Mann2_4hr,Mann2_12hr,Mann2_24hr,Mann3_4hr,Mann3_12hr,Mann3_24hr,MGd1_4hr,MGd1_12hr,MGd1_24hr,MGd2_4hr,MGd2_12hr,MGd2_24hr,MGd3_4hr,MGd3_12hr,MGd3_24hr
204639_at,0.1756322551868666,0.2248250915665402,0.3100729184654524,0.218898243809953,0.1555797536104134,0.1927213328850263,0.2710545040679202,0.1947957295998318,0.2817228300297771,0.2426056348363017,0.2165275047073181,0.1873871699040979,0.30809730254659,0.1313784586043491,0.1199198862749472,0.2996021540954818,0.3516596335575058,0.2038835628265989
203440_at,0.2301748952583014,0.2358929961045402,0.1153008096010253,0.1508042417209561,0.1068516755147917,0.2218111059608177,0.1479025189034618,0.1609602715821863,0.3526446671143127,0.0911482343848223,0.2889774547069368,0.1990240473646121,0.1205068417147651,0.165227511019678,0.252961953854507,0.3633981104967918,0.2114843865220878,0.45667996460036
212607_at,0.3383619130410608,0.235858157031563,0.2719875940378655,0.135474571576926,0.2557617989751548,0.1604406615800836,0.2991171233827178,0.2372427582102476,0.2844490046460273,0.2641992124077644,0.2549829608121446,0.2322668477243497,0.1892576736114578,0.1915941881004881,0.1880028787932748,0.2211467695080386,0.2301899459563227,0.1455994676960575
210104_at,0.1483108940475943,0.1543124385032296,0.1743175866886807,0.3534545954402201,0.2964399231116845,0.2159646679111198,0.2650682134572271,0.0454662458760252,0.272160947813887,0.2124183007327898,0.2547019093974934,0.1809556585865804,0.2822544543983646,0.1835017683556378,0.2807995345303318,0.2783443572530265,0.2256035120368371,0.2337874362945217
209028_s_at,0.1860527795097831,0.4820538085507953,0.2360292565694327,0.0876780299292097,0.3508874757766975,0.1864034916294999,0.1679911053443659,0.3522903242555649,0.2968778093403043,0.2696976200622493,0.2523373701362658,0.1985030597597309,0.1080193328727864,0.0876780299292097,0.0876780299292097,0.2158633096857144,0.0876780299292097,0.1188914085840084
202382_s_at,0.116425469250922,0.299981849020152,0.2523429853900074,0.2247982395943788,0.299981849020152,0.4674328309744516,0.1329071614073227,0.1176296111436271,0.1076201816605161,0.2243466863846144,0.2022958379744527,0.1953720220913985,0.186943028842463,0.2089186183843306,0.263029744687765,0.2232178033602034,0.2174981293698543,0.237366470599488
207616_s_at,0.2538592683559065,0.2899638646101652,0.2079489492896171,0.1580562293877902,0.2223006202252329,0.350113145154461,0.2709159662741516,0.2287250593089772,0.2433021491598122,0.2625754664110449,0.2359384645959883,0.1692520355103387,0.1925828932355153,0.1659834612396618,0.2236907035357507,0.2486746333058673,0.2534084305254683,0.1798842943448395
78383_at,0.2952088222963094,0.1050522764616687,0.2366657580142649,0.1451651168030695,0.1260844143704031,0.3154820686310174,0.0681918285803814,0.1968781569188754,0.189506067342618,0.1123159529559223,0.205225964233167,0.2038165941671178,0.53718682132876,0.2412191074584239,0.2524940679868177,0.2307030385040567,0.1942762429507846,0.1795320637982697
221847_at,0.1933375717379967,0.16596183667589,0.2443327039950603,0.1882722070383553,0.2558293744369429,0.2669276454080673,0.2396088245560689,0.2908885278636742,0.2519592081495765,0.2665861601474172,0.2412593366492104,0.3116622145532146,0.1636852682715568,0.2174122826138202,0.2854816779033828,0.1434238094729913,0.1668155498275149,0.2595287980939844
206846_s_at,0.1721124625547201,0.1547612184864725,0.2008332259635309,0.2273903868112644,0.1947666540765886,0.2703654729754082,0.2904318261399098,0.2562384209589621,0.2749472195753367,0.1884455407118725,0.2172511512799413,0.1678276810121944,0.1367311971441614,0.1309615903146219,0.2994680486008798,0.3791395311440803,0.2857652323807234,0.2365114564314924
219442_at,0.0645817017936135,0.1473517196025713,0.1887367285070502,0.0658996957077689,0.1175650571426597,0.2278811477574649,0.0658996957077689,0.2900904605055988,0.0658996957077689,0.3206679193140037,0.2154920049644044,0.271506746316008,0.3669295057008574,0.4245258397494475,0.2932536458995717,0.2108790262648606,0.0658996957077689,0.3207997187054192
209771_x_at,0.2556296661733916,0.2751115807093835,0.231480066397478,0.1807817178784449,0.3033239227191613,0.274032307391758,0.1816341375687988,0.2000848992535561,0.2087672062609512,0.2708632309622971,0.2281666285688442,0.2707807387341983,0.2675429187813217,0.2780881752732806,0.2324356013729553,0.1886872230712433,0.1398793214461403,0.1792693603633009
217746_s_at,0.2530605272234682,0.1880953726819348,0.2598363321270525,0.175175199890871,0.2368131670783146,0.1954297564843809,0.2627506568167661,0.2374446040944193,0.2443661252324892,0.2725865026445497,0.2299887900965685,0.2283130533999832,0.2778808591641961,0.2445604135451367,0.2181614890641473,0.2198129397216517,0.2034441493810934,0.2632849496765469
203415_at,0.3130311543606571,0.2068350803324406,0.2278142855473283,0.2085684776041446,0.2470855846268606,0.2399480664492561,0.2512661309880291,0.2851693423316507,0.2091547737401621,0.1956954537481078,0.1947267905668615,0.1814204173928987,0.2610547273458867,0.2355380998609504,0.2183060916893051,0.1989073369280299,0.3058681450467039,0.2084920041950989
