IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
PRPF8	1998.2	2402.0	2920.8	1801.6	1820.8	2737.6	2447.4	1844.9	2465.2	1841.0	1750.5	2810.0	2388.2	2446.0	3260.6	2087.7	1928.8	3035.6
CAPNS1	3682.5	2870.7	4239.5	4019.2	3933.0	4362.1	3486.3	3806.8	3329.0	3337.2	3126.9	4023.6	3587.3	3667.3	4314.3	3964.7	3156.5	3962.0
RPL35	8573.4	8949.0	10922.4	7769.8	8755.2	9367.7	8700.9	7678.6	8465.7	7158.7	8660.4	10603.1	8960.4	9291.1	13128.6	8720.2	7709.2	9801.4
MIR6805	15092.2	18920.2	16371.8	16658.4	19529.9	15276.4	15459.3	16117.0	16297.8	14946.9	17063.5	15699.7	17323.4	20997.8	17754.2	14624.9	17372.7	17523.2
EIF4G2	3237.0	2417.2	3453.5	3632.2	3263.8	3242.0	3838.1	3186.2	3488.4	3527.4	3043.8	3552.9	3338.6	2586.3	2985.7	3490.0	3563.1	2915.6
EIF3D	2079.4	2439.7	1711.7	1761.6	2971.2	1951.2	2654.4	2760.0	1723.9	1942.7	2539.1	2510.0	2542.9	2611.1	2119.4	2387.5	2140.2	2055.4
PARK7	3314.4	3407.2	4004.6	3293.5	3208.2	3343.0	3468.6	3094.7	3821.0	4025.8	3437.1	3908.3	3919.0	3316.8	3667.4	3691.4	3097.7	4071.6
SRP14	2524.4	1855.4	2405.8	1953.0	2209.6	2176.5	2026.4	1773.9	2434.4	1993.6	1723.9	2667.5	1906.2	1796.5	1957.5	2262.6	1683.2	2397.8
GDI2	1372.4	1575.1	1254.4	1410.4	1383.2	1775.8	1788.3	1571.7	1109.4	1708.0	1387.0	1132.2	1657.1	2044.1	1713.8	1411.2	1499.4	1216.0
GDI2	3139.0	3528.7	2676.0	2924.1	3278.9	2620.0	3274.6	3883.1	3102.9	2684.1	3407.2	3075.8	2995.2	3384.9	3071.1	2678.8	3476.2	2926.6
RPL11	7184.2	5366.2	6716.7	7254.3	6930.4	6103.7	6783.9	6375.2	7279.3	8140.1	6153.7	6556.2	8208.6	6847.4	4977.6	8244.5	7830.0	7260.3
ARF3	866.4	365.3	701.4	688.7	764.1	752.5	907.4	728.7	705.5	803.2	615.2	683.1	671.2	684.6	749.8	697.2	554.7	625.8
RPL21P28	8828.5	7488.1	9064.6	8880.4	10624.4	9083.1	9343.9	7951.3	8659.5	7491.8	9562.8	9763.8	8822.0	10033.3	9364.8	8505.2	7751.5	10849.3
RPL24	9064.3	8432.3	8656.3	7702.5	9739.9	8173.7	8728.5	8213.7	7550.7	8177.0	9091.4	8816.3	8830.4	10373.3	8657.8	7994.7	8959.8	9647.8
HNRNPC	1610.4	1081.0	1194.7	1358.8	1420.7	1138.2	1407.3	1313.9	1334.5	1595.4	1344.0	1231.1	1380.8	1242.7	1280.5	1763.6	971.3	1259.5
SEPT2	2335.1	2512.3	2497.6	2155.1	2866.4	2324.9	2479.2	1689.8	2471.7	2290.1	2166.5	2311.9	2849.5	2458.6	2959.3	2467.9	2266.6	2325.1
HNRNPA1P10	8152.6	5207.2	6128.6	6568.0	5878.9	5616.8	7170.2	6509.8	6493.5	7897.3	5795.8	6246.8	7513.4	6404.4	5276.6	7886.9	7452.7	7031.8
RPS27A	9325.7	7050.1	9180.0	6595.9	7924.5	13510.3	9301.0	7874.5	10134.0	8980.1	7924.8	8051.8	7870.3	7069.2	7922.2	8776.2	7810.9	10303.9
LOC100508408	13395.8	13164.2	14129.3	14470.2	13814.7	14519.7	13649.2	13217.1	14174.3	12283.3	14218.3	13429.3	14460.5	14662.2	13052.2	15060.7	13180.0	14379.6
