IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
CLTA	3278.7	3268.4	3279.8	2516.7	3148.1	2245.6	3346.7	3982.3	2645.1	3000.6	2883.2	3540.9	3173.8	3738.5	2815.4	3085.1	3297.1	2650.5
SEPHS2	459.9	444.3	490.1	350.9	659.5	377.3	485.2	697.1	446.1	621.5	416.5	576.9	475.5	558.0	560.7	603.9	648.4	605.9
RPL31	180.6	273.4	198.4	302.3	237.6	248.9	240.4	392.7	221.8	190.3	267.8	357.7	196.5	289.8	157.1	176.8	250.9	136.1
RPL31	18367.4	23694.6	21659.9	18562.8	20318.4	24176.0	17099.1	18688.5	18509.3	15935.2	19952.3	20471.4	18009.9	22085.9	22660.6	16881.2	20606.0	22754.1
UBA1	1466.2	2103.9	2105.9	1724.1	2203.3	1633.2	1534.0	2183.7	1990.7	1535.8	1675.1	1879.2	1544.3	2388.6	2325.2	1458.7	1621.3	2111.7
ABLIM1	966.8	1173.9	921.4	1096.6	1191.2	730.4	1004.4	1165.6	810.3	875.5	909.0	919.9	1006.2	1363.5	941.5	1041.2	1101.8	844.1
ALDOA	7730.6	9775.7	7886.1	7524.9	8447.0	8246.4	7322.7	10055.3	6595.8	6846.4	9562.9	8372.4	7791.4	11305.2	9934.8	8131.0	9498.3	9050.1
PPIB	2689.4	2348.6	2719.9	2279.7	3204.3	1901.0	2884.3	3475.6	2315.8	2868.6	2657.8	2749.2	2727.1	2934.7	2800.6	2579.0	2610.5	2380.6
PPIB	3920.6	4964.5	4427.6	3732.3	4524.9	3707.9	3585.8	4159.3	3171.2	3757.1	4703.1	3652.4	3583.5	4694.8	4332.5	3634.3	4231.9	3725.5
SERP1	321.0	431.5	313.2	301.2	291.3	255.6	351.7	285.6	315.6	403.8	212.2	137.8	270.9	306.6	233.6	407.0	331.5	221.2
SERP1	703.8	361.1	276.1	638.4	591.7	283.1	694.8	343.3	264.1	734.4	385.4	250.5	550.8	288.0	268.1	736.1	451.6	385.0
SERP1	1865.2	1474.6	1333.2	1523.7	1749.2	1082.2	2073.4	1585.5	1387.9	2141.7	1651.6	1460.3	1731.9	1618.1	1059.0	1800.5	1688.3	1105.9
TSPAN3	3172.6	1960.6	2541.6	3388.7	3198.1	2388.0	2527.7	2353.3	2882.0	2999.8	2446.7	2625.3	2948.6	2798.3	2318.0	2994.1	2561.3	2312.6
TSPAN3	1861.4	1152.6	1341.8	1429.8	1659.0	1350.6	1731.8	1421.4	1183.9	1622.4	1379.4	1392.6	1788.0	1870.8	1482.6	1651.0	1622.6	1239.3
ACTA2	292.2	316.5	298.2	310.4	345.3	271.0	378.1	301.6	386.6	309.1	59.0	337.0	300.5	214.8	296.2	289.3	305.0	307.9
PPT1	594.4	458.2	508.4	686.7	339.1	470.2	612.9	608.6	452.4	537.4	700.0	716.4	582.1	472.4	469.6	537.8	448.9	734.8
TAX1BP1	1717.1	1707.2	1870.1	1668.7	1654.5	1809.6	1673.0	1642.2	1373.4	1705.6	1757.5	1712.4	1447.8	1838.6	1945.7	1757.8	1613.6	1628.7
TAX1BP1	1088.6	946.2	957.3	1173.7	1278.4	1009.4	1069.0	1080.4	955.8	956.7	1122.0	865.5	1108.5	878.3	790.9	1106.8	975.1	919.6
MDH1	2732.0	3066.1	3242.4	2232.0	2804.4	2786.3	3070.2	2960.9	2466.0	2808.7	2983.5	2555.9	2751.4	3070.2	3124.4	2715.6	2981.4	3413.2
PDHA1	261.0	362.9	171.3	275.8	226.7	338.6	297.3	199.1	384.2	268.4	287.2	269.3	323.4	231.4	347.7	305.7	380.4	265.7
PDHA1	1020.8	1282.9	862.1	948.3	1249.1	1028.5	1088.2	1333.2	847.3	1065.4	1414.3	913.2	1325.3	1533.0	1039.9	1101.9	1090.0	901.0
GNAS	6388.1	8283.1	7716.8	8740.3	9058.4	7110.9	6469.3	8148.1	9165.4	7814.3	8690.5	7701.4	7405.2	10880.3	7647.0	6971.5	7595.8	8051.0
ANXA6	183.7	179.0	156.6	83.3	107.9	77.7	103.1	116.2	120.5	137.3	176.0	259.6	154.0	157.5	224.1	83.3	144.7	189.3
CD59	1156.8	903.6	782.4	953.2	1408.8	1267.8	1281.0	757.9	1133.3	1274.1	1281.6	1209.4	1342.0	1639.3	1128.9	1113.4	1051.3	988.0
CD59	921.4	956.3	985.0	879.5	696.7	710.4	884.1	498.5	828.9	780.9	777.6	469.1	755.5	1155.6	989.7	842.9	642.4	650.0
CD59	795.0	807.8	971.9	730.7	762.0	770.6	976.5	782.6	668.4	744.2	914.3	564.8	935.3	1129.9	900.2	1011.3	776.2	893.1
SERPING1	49.0	127.4	134.8	55.5	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	94.9	50.0	62.4	50.0	127.7
PSME3	601.1	622.1	864.5	781.0	543.6	718.9	562.6	521.6	485.0	677.5	509.8	607.2	621.2	835.2	803.6	584.7	706.8	732.0
PSME3	188.5	185.0	263.5	291.9	289.6	362.7	196.8	342.1	283.3	226.9	233.5	239.0	198.5	301.3	282.3	227.0	213.9	252.9
HIF1A	2947.1	2194.3	2552.0	3221.8	2645.0	2494.1	3461.7	2381.0	3851.9	3166.8	2297.4	2526.4	2883.5	2266.4	1660.0	2760.1	3170.1	2323.6
TRIM28	1946.1	2332.9	2361.0	1971.8	2192.3	2194.7	1908.5	1605.1	2185.9	1987.1	1878.3	2450.0	2484.1	2860.7	3151.6	1909.5	1730.0	3033.9
SNX17	494.8	521.7	686.7	213.4	684.8	660.9	627.7	600.0	631.9	305.7	625.7	691.8	306.7	732.8	854.4	734.4	356.5	574.2
IPO7	1374.4	1060.2	869.9	1533.4	1157.0	778.1	1452.3	1021.4	1347.7	1281.3	1289.5	878.6	1263.6	898.1	669.9	1262.2	1546.4	960.4
IPO7	804.0	345.2	620.3	699.6	744.4	850.5	871.1	635.6	991.7	944.8	870.7	828.6	694.9	761.1	686.6	858.5	830.0	530.1
IPO7	844.6	719.7	468.4	692.9	592.4	536.1	955.1	581.9	541.2	918.1	470.6	527.3	754.3	471.8	449.0	906.5	854.6	614.8
IPO7	454.2	554.9	477.0	381.7	592.9	542.2	496.4	378.7	600.9	562.7	327.8	526.2	621.0	473.3	482.8	511.5	551.2	332.3
ACTR3	823.1	462.0	443.0	618.6	885.7	373.7	1001.4	329.1	834.4	981.7	795.3	430.4	774.9	676.2	368.3	803.2	691.4	750.9
RBM14-RBM4	1114.7	838.8	810.6	955.0	676.5	805.7	1019.1	913.0	912.1	914.9	780.3	972.3	833.7	896.8	730.9	1031.0	833.1	862.8
CKAP4	780.9	629.8	897.2	578.4	660.6	828.3	700.7	838.0	1018.0	674.4	698.8	829.0	584.0	663.2	792.9	613.3	673.3	742.9
CKAP4	1611.3	842.2	1355.5	1042.8	944.7	1369.0	1249.3	851.2	1236.7	1190.3	1060.5	1657.0	905.1	718.6	1096.5	947.9	730.4	1207.7
AARS	2720.7	3294.6	3269.0	3240.1	3072.6	3441.0	3387.7	3503.1	2720.4	2515.7	2873.2	2776.6	3127.4	3933.0	4232.2	3380.0	2985.5	3535.6
TMEM189-UBE2V1	435.8	544.1	341.6	441.1	414.3	475.0	479.4	373.9	522.0	399.4	723.4	406.6	423.2	217.8	363.9	448.2	416.1	331.9
TMEM189-UBE2V1	795.3	790.3	1036.0	901.3	833.2	639.7	908.9	926.3	876.5	784.1	821.4	723.3	1037.9	880.7	996.0	732.9	843.0	919.9
TMEM189-UBE2V1	980.5	1316.0	891.5	887.5	1369.3	1018.8	954.2	1034.6	929.6	998.5	1043.9	1439.9	1236.1	1384.8	1179.3	864.9	835.6	1055.7
SSR4	4829.9	4915.4	3894.0	4306.9	4974.3	3841.0	4390.5	4231.2	3544.5	4808.7	5601.3	4860.3	4451.3	5145.2	4209.3	4861.6	5100.1	3907.5
CD9	873.4	1005.9	1143.8	568.9	688.3	934.0	731.4	594.6	910.9	600.9	750.5	926.6	750.8	997.7	1266.7	580.3	562.6	1067.4
PRDX2	49.0	50.0	54.3	50.0	50.0	50.0	50.0	50.0	50.0	49.0	72.6	124.3	50.0	124.4	50.0	50.0	50.0	50.0
HADHB	1732.5	1792.4	1423.2	1450.9	1892.8	1959.9	1798.5	1418.1	1589.6	1947.2	1508.3	1359.1	1429.4	1569.5	1545.5	1384.5	1770.3	1653.0
TXNIP	49.0	56.1	50.0	50.0	50.0	50.0	50.0	50.0	50.0	75.1	57.7	50.0	50.0	50.0	50.0	50.0	50.0	50.0
TXNIP	49.0	50.0	50.0	141.0	72.4	50.0	50.0	50.0	288.8	174.6	63.5	138.7	50.0	50.0	50.0	141.5	204.9	180.1
TXNIP	139.5	50.0	59.8	103.2	109.3	185.2	104.6	251.5	147.2	106.3	157.6	55.7	63.3	50.0	111.3	128.5	123.8	132.1
RPN1	559.9	629.3	571.7	838.8	781.4	591.8	734.2	617.5	458.2	699.3	711.9	635.2	622.1	740.6	737.1	561.6	686.3	529.3
ANXA1	4252.1	3924.6	4172.9	4221.9	5334.7	5067.6	3563.7	3526.2	5601.8	4595.6	3821.6	3664.6	3683.5	4436.8	5135.8	3993.7	3554.7	4791.0
PAICS	853.9	744.4	1162.3	889.3	1036.6	1002.1	1105.8	1210.6	1147.5	958.9	1142.1	862.9	1020.5	940.2	1268.2	1195.4	1226.6	1207.4
PAICS	613.9	566.1	489.5	562.4	715.5	415.0	690.4	352.8	582.5	459.8	459.5	489.6	635.0	605.1	514.4	537.5	620.7	781.3
JUP	1159.2	1142.5	1410.8	1543.7	1207.7	1337.2	1291.8	1086.5	1376.6	1508.6	1410.5	1207.5	1642.1	1534.2	1456.6	1403.9	1262.8	1423.6
EIF1AX	176.2	195.6	197.2	163.5	269.3	152.7	215.6	351.5	258.6	334.9	119.1	213.8	257.2	59.1	169.0	239.6	310.3	265.7
EIF1AX	364.3	152.5	88.7	306.5	316.9	240.2	224.6	261.5	421.3	222.7	273.3	222.8	242.4	227.0	183.8	215.2	259.4	253.0
EIF1AX	376.8	373.4	336.0	501.3	215.0	511.3	414.8	501.5	573.6	443.4	324.9	384.2	358.8	333.9	535.3	466.2	338.8	453.7
EIF1AX	348.3	562.7	328.6	361.4	422.2	542.1	491.9	482.2	538.3	655.1	408.2	535.3	575.6	327.1	444.8	637.9	541.6	496.9
YWHAH	426.9	479.5	398.7	381.6	293.0	279.4	417.8	248.0	494.2	335.8	385.0	317.7	299.8	380.6	357.9	445.3	515.4	486.3
DSTN	2418.2	1303.5	1806.5	2380.5	2497.1	2468.7	2477.3	1478.2	1871.6	3211.6	1952.9	1443.9	2587.3	1851.9	1326.7	2723.4	2529.1	1282.7
DSTN	6210.1	4191.5	4538.2	4847.3	5786.8	5015.3	6171.8	3717.8	5225.5	5189.5	5785.8	4781.0	5294.1	4719.5	4087.2	5687.2	5831.3	5568.1
TAF7	1000.5	486.0	717.4	1019.7	846.5	745.7	820.5	593.6	724.9	839.7	644.0	707.8	947.0	678.7	633.7	928.4	882.8	903.0
EIF5B	619.0	486.7	518.6	592.5	528.6	1162.3	467.8	687.2	883.3	638.8	756.3	969.2	568.5	628.0	782.4	682.3	545.4	1227.8
EIF5B	83.0	104.1	215.7	213.0	179.8	120.4	175.0	190.2	266.8	102.4	197.5	204.2	156.2	73.9	85.2	163.7	182.3	120.4
EIF5B	127.1	169.3	176.0	201.8	95.1	221.5	78.3	83.4	120.9	190.0	134.9	50.0	163.6	92.5	195.3	105.1	107.5	133.6
EIF5B	329.3	248.5	363.6	289.1	304.3	325.2	263.6	194.1	335.1	300.5	209.0	242.2	361.9	369.1	448.4	263.9	306.2	404.6
CD99	1233.9	1172.7	930.5	1213.0	1396.2	1348.5	1107.3	1340.3	1311.7	982.4	1577.9	1132.8	1538.8	1400.3	1064.8	796.7	1089.8	1216.6
CD99	2659.8	2382.0	2793.1	2013.3	2557.6	2770.4	2460.5	2270.6	2394.4	2410.2	2233.7	2125.7	2223.0	2150.5	2191.3	2158.6	2589.0	2148.0
LDHB	9970.6	8538.4	10172.4	10854.6	10233.5	10539.5	11259.0	9499.6	10636.4	9785.7	8487.2	9295.0	12114.7	10193.3	9405.7	10396.3	12728.7	11547.1
HNRNPH1	1415.7	576.4	1013.9	1245.7	859.1	727.7	1448.8	586.0	1119.0	1697.1	1132.0	889.7	1617.0	833.8	708.3	1971.5	1222.2	1086.9
BLCAP	474.8	571.2	535.8	773.8	527.3	620.2	489.7	553.7	545.7	564.7	514.1	400.0	546.7	426.6	510.0	606.3	646.6	597.0
RPLP0	29385.7	33068.1	27512.8	31317.8	30099.9	32048.5	23691.2	31362.6	28691.7	20030.3	35075.1	29039.7	23000.0	34606.4	27964.0	25321.4	33104.1	32091.6
ADD3	818.5	897.1	857.5	825.2	731.4	564.7	795.3	976.9	776.5	1037.4	697.0	658.6	846.5	356.8	490.2	745.8	776.8	617.3
HADH	75.6	81.4	226.7	256.1	168.5	228.9	263.9	338.3	127.2	213.9	131.0	384.9	275.5	297.7	194.4	147.7	237.3	163.2
HADH	174.5	166.2	216.0	135.3	293.9	105.8	183.1	299.1	206.6	176.1	246.1	195.4	246.5	265.2	190.4	130.5	200.9	208.0
PFKP	1530.6	1999.4	1645.2	1933.8	1885.4	1726.3	1709.6	1585.0	1779.9	1707.9	1516.2	1415.6	1691.1	2090.4	2304.0	1594.6	1513.4	1538.2
ANP32A	326.5	282.8	260.0	305.1	304.6	377.0	314.2	392.9	451.8	361.4	243.5	537.0	305.4	244.3	393.3	305.4	517.8	233.4
RAD23A	439.3	447.4	504.4	300.5	430.3	502.3	422.0	383.0	521.0	404.7	474.6	476.0	485.3	632.9	677.9	532.4	568.3	279.6
GNAI2	257.3	209.9	237.0	110.3	245.1	334.9	254.8	401.3	66.7	89.4	446.5	465.2	233.6	185.4	211.3	94.3	201.2	195.2
DUSP1	1810.1	1606.3	1361.7	1587.2	2172.9	1225.3	1989.7	1632.8	1248.6	1944.3	2279.0	1340.9	1774.9	2071.9	919.6	1761.7	2265.8	1058.8
TGM2	1503.1	1406.9	1289.2	1385.6	1186.0	1210.2	1195.2	1520.9	1239.7	1360.1	1274.8	1305.7	1771.6	1008.8	1361.0	1316.3	1414.5	1343.2
ANP32A	199.7	459.8	273.7	243.5	343.6	300.8	260.4	295.0	225.8	227.0	452.1	228.8	270.8	433.4	338.6	343.2	391.3	282.5
DUSP1	122.2	140.6	50.0	155.1	93.7	50.0	51.1	104.8	50.0	103.2	50.0	63.7	50.0	113.2	147.5	50.0	64.1	60.5
WTH3DI	49.0	50.0	50.0	50.0	50.0	108.1	50.0	50.0	58.9	49.0	50.0	50.0	50.0	50.0	50.0	60.6	50.0	173.4
RAD23A	675.8	738.3	969.1	397.9	941.3	662.3	807.5	575.0	1162.0	635.8	810.6	798.9	820.9	882.7	773.4	795.5	630.0	1114.2
WTH3DI	583.1	474.3	684.6	794.9	710.8	682.4	830.8	710.6	891.1	774.7	521.7	778.2	687.2	554.6	501.0	681.5	756.0	523.6
WTH3DI	134.7	50.0	50.0	243.5	73.3	153.9	115.5	67.9	50.0	49.0	105.0	100.2	101.7	84.4	50.0	59.7	93.6	141.7
RPS18	22984.1	22565.4	25703.4	23305.8	22504.3	22341.4	20271.1	20242.1	20890.1	19557.6	26031.6	22805.6	20172.8	27466.0	23897.4	20633.0	25030.7	28791.4
PLD3	1161.7	1449.9	1619.0	1083.1	1033.3	1330.2	1412.0	1046.6	882.9	1061.5	1284.8	1382.8	1452.2	1369.8	1824.1	1402.3	1292.7	1585.5
ANP32A	1094.8	1133.5	1790.3	1063.3	1252.3	1546.6	1329.3	1150.3	1269.5	1316.0	1261.2	1544.4	1250.3	1141.9	1473.0	1320.7	1169.4	1539.8
PSMF1	771.3	965.1	667.8	564.5	742.8	653.4	748.6	620.1	674.2	787.1	524.5	785.5	737.5	719.0	655.1	821.5	650.7	811.5
PSMF1	428.5	386.4	277.2	277.2	484.7	304.7	435.3	50.0	267.4	489.6	267.6	266.5	286.0	362.2	369.0	454.4	432.5	468.7
HNRNPA0	749.9	535.3	701.4	672.3	613.8	905.1	924.9	649.0	805.7	643.5	749.4	751.9	714.1	598.6	664.9	789.9	614.7	660.3
HNRNPA0	405.5	473.0	461.6	496.4	458.1	315.2	344.2	525.7	354.0	388.7	484.7	340.4	358.9	481.1	345.6	253.9	542.9	224.2
GOLGB1	319.6	431.1	324.2	404.4	305.2	467.7	336.9	273.9	372.1	265.3	283.8	285.9	344.2	293.8	405.5	315.7	189.6	396.0
GOLGB1	546.6	569.4	759.2	631.6	535.2	658.8	555.2	706.5	397.2	803.0	593.3	708.4	627.5	826.7	726.9	610.2	652.8	724.2
MYL9	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	65.7	50.0	50.0
CTTN	1118.3	1090.0	1275.7	1172.9	1331.8	1862.6	1386.8	981.5	874.3	1249.5	928.4	1126.3	1091.6	1057.7	896.7	1200.5	1144.3	1221.6
STOM	816.9	879.2	804.8	1234.1	900.8	503.4	841.1	691.0	803.9	714.4	863.6	831.6	589.5	625.6	561.0	995.1	616.4	844.6
STOM	1419.6	971.8	1887.4	1899.2	1738.3	1507.9	1492.4	1520.1	1469.2	1287.0	1202.4	1761.0	1363.0	1373.1	1558.2	1398.0	1290.5	1487.7
STOM	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	63.5	50.0	50.0	50.0	50.0
RCN1	1580.4	1217.6	1246.5	1649.0	1450.2	1239.0	1618.2	1048.8	1843.3	1411.0	1233.5	1609.1	1278.4	1303.1	1146.0	1555.8	1342.2	1408.4
LOC100996696	686.6	724.0	876.4	1259.8	1042.8	787.1	944.8	674.0	621.7	732.9	711.9	576.9	817.9	814.8	830.9	884.6	743.9	620.5
GTF2IP4	1013.9	1334.0	1029.8	1071.4	1014.4	963.9	837.0	634.6	764.4	1077.6	1393.9	507.4	1256.6	870.5	1287.0	1087.1	1011.9	987.7
CYC1	1648.1	2216.7	1847.2	2136.6	2383.4	984.4	2229.1	1529.5	1288.7	1470.9	1742.6	1376.4	1790.5	1864.9	1677.7	2420.1	2016.4	1983.7
PSMC2	360.8	413.1	395.2	300.0	354.4	205.4	334.5	167.9	80.4	370.9	417.8	320.4	314.4	182.5	300.0	405.3	334.5	292.8
PSMC2	774.0	712.5	752.1	674.4	937.1	814.2	835.1	474.3	1049.1	827.6	844.3	839.4	841.1	843.1	793.3	756.3	614.7	782.8
MMP2	102.1	185.5	50.0	114.5	94.0	133.7	50.0	228.6	50.0	49.0	92.5	109.4	100.2	50.0	50.0	70.2	141.5	50.0
SF3B1	360.0	467.4	363.9	275.5	342.0	343.1	454.8	236.5	335.4	419.6	421.2	316.8	516.2	447.3	324.2	346.6	375.5	506.9
SF3B1	1789.7	1239.6	2234.7	1669.9	1770.6	1755.4	1822.8	1246.7	1955.3	1836.6	2053.8	1691.8	1874.4	1603.5	1476.4	1557.7	1735.2	1625.2
SMARCC1	120.0	97.3	90.0	173.9	147.8	96.8	100.0	185.4	63.2	57.3	118.9	50.0	118.9	153.5	50.0	165.4	131.2	126.1
SMARCC1	221.0	336.4	249.5	184.0	270.3	164.0	214.5	66.4	169.1	174.2	63.1	242.5	166.5	111.3	173.8	264.8	221.0	196.9
SMARCC1	284.7	95.1	267.5	297.0	174.3	315.5	265.4	300.1	211.8	268.5	319.5	243.7	294.6	221.6	244.9	257.8	262.4	254.0
SMARCC1	341.9	334.4	189.4	168.6	195.2	156.0	224.0	157.4	245.7	268.5	344.2	164.5	138.7	272.3	289.0	286.1	343.4	247.9
SNU13	329.5	358.2	331.9	473.2	394.7	269.1	233.1	589.5	233.6	296.3	305.3	378.7	253.3	411.4	216.2	248.8	444.3	459.8
SNU13	1318.0	1651.3	1349.8	1234.4	1397.1	1435.3	1364.5	1458.8	1242.8	1210.9	1143.1	1582.0	1323.1	1270.0	1589.6	1392.7	1254.4	1321.0
TM9SF2	1674.3	897.3	1061.4	1544.0	1692.1	1010.8	1765.2	1190.3	1186.8	1823.6	1075.8	882.1	1505.9	867.8	1018.0	1671.0	1443.5	1012.0
SYNGR2	1416.3	1218.5	1451.8	1661.1	1586.3	1341.8	1521.9	1799.6	1428.2	1384.8	1528.7	1882.4	1433.0	2222.2	1985.5	1590.2	1432.4	1751.4
PIP4K2B	275.0	251.4	405.0	50.0	246.7	327.2	231.8	434.4	188.4	175.2	106.3	330.9	300.5	331.7	271.8	281.6	255.1	208.3
PIP4K2B	251.0	151.6	205.1	50.0	166.8	50.0	50.0	63.6	50.0	125.6	151.2	106.3	221.3	50.0	50.0	50.0	205.9	90.7
SLC4A5	288.6	326.3	252.4	200.1	212.2	160.2	212.1	209.8	151.1	174.3	171.1	91.6	188.1	260.4	172.5	174.3	273.5	347.1
BCLAF1	121.7	110.1	97.6	50.0	50.0	84.1	107.5	270.9	120.9	63.5	88.4	61.2	74.7	63.2	50.0	50.0	115.5	50.0
BCLAF1	974.0	786.8	756.1	1103.1	1027.2	820.3	1102.4	958.1	1136.5	979.9	858.1	722.8	1112.6	743.7	789.3	1060.9	991.1	929.7
SON	218.1	214.4	188.4	59.1	50.0	50.0	189.8	204.2	256.5	178.0	60.9	199.9	225.8	260.8	236.8	259.0	278.6	182.1
SON	611.5	469.6	536.1	791.1	360.3	573.0	729.5	407.7	662.6	896.7	545.4	586.5	570.8	306.9	829.8	498.8	476.8	570.2
PXN	333.2	438.9	393.5	393.1	407.3	506.7	185.3	481.4	341.4	295.8	285.5	465.7	305.4	272.9	326.5	278.6	370.6	219.2
KPNA2	606.0	294.9	489.5	533.4	404.1	374.0	650.2	303.7	707.1	738.2	273.7	545.6	662.8	436.0	305.4	573.6	249.8	571.0
ATP6V1B2	409.9	325.2	260.9	422.7	411.9	440.3	461.0	314.9	370.0	431.2	472.3	375.1	541.3	494.3	276.7	302.4	536.9	375.4
TUBA1B	8232.4	8730.3	6447.8	6795.8	7328.5	7563.3	7613.3	7817.8	8888.9	7004.2	8490.2	7034.3	6745.5	9787.6	7375.9	7585.6	7123.4	11101.1
CBX3	392.7	185.7	190.2	273.8	281.2	182.2	219.3	286.4	73.0	239.6	279.3	269.3	285.0	171.9	90.2	312.4	172.9	103.4
RBBP7	1485.1	1535.8	1665.7	1331.0	1759.5	1676.8	1511.7	1622.9	1660.8	1401.0	1518.3	2055.4	1435.4	1765.0	1557.1	1376.1	1596.4	1782.9
SDHA	654.5	532.4	504.1	677.8	862.3	368.7	591.1	823.0	577.6	348.1	671.3	741.0	430.0	672.2	558.3	657.6	597.6	590.3
RPS29	15162.5	15542.2	14781.7	15354.2	15514.6	14998.1	14556.7	15449.1	13697.3	14041.2	15255.7	15342.0	14956.7	15445.3	11888.4	15310.7	14902.4	16308.5
DAP	886.9	677.1	626.5	360.0	500.6	749.7	558.9	730.7	547.5	544.2	527.0	435.0	686.2	310.6	469.6	512.5	533.5	516.1
ARF4	918.0	920.2	959.6	562.0	678.3	823.2	857.4	606.6	725.2	859.9	684.1	749.7	775.5	833.4	826.4	915.0	715.7	1088.0
ARF4	1765.8	1175.2	1423.0	898.1	1278.8	959.3	1674.3	1054.2	1721.5	2187.5	1370.4	1233.5	1516.7	1334.1	1232.7	1708.6	1425.2	1376.4
COPB2	526.3	534.5	692.5	615.8	378.3	588.7	534.7	555.7	622.1	373.6	517.2	582.4	457.3	497.8	847.4	442.0	537.4	564.4
USP9X	532.6	687.9	620.3	815.9	558.1	676.6	895.4	723.1	650.2	631.9	564.3	688.0	555.2	702.9	730.9	759.9	626.8	708.6
USP9X	1313.7	765.2	941.0	875.1	1325.3	824.6	1177.0	986.5	1475.9	1125.1	962.0	987.3	897.7	1024.4	793.3	761.4	1245.5	1409.1
BCLAF1	316.1	317.8	345.6	241.7	135.5	139.3	189.6	291.5	188.5	254.5	102.5	50.0	163.4	163.0	127.1	177.5	201.3	51.9
PFKL	326.0	364.5	266.1	148.6	147.8	338.8	330.1	475.9	190.2	301.3	302.9	202.3	340.0	286.4	203.3	315.8	236.4	150.6
NBPF20	1795.1	1211.1	1620.2	1838.2	1422.3	1421.1	1835.0	1588.0	1753.8	1947.4	1435.6	1574.1	2024.8	1517.8	1718.2	1842.4	1338.4	1523.1
NBPF25P	1015.2	728.4	1169.4	1009.6	1055.4	1146.1	1254.3	1024.2	920.5	965.4	724.7	1009.0	1276.0	945.5	1021.5	1222.2	910.9	1013.1
LGALS1	2189.6	1579.6	3025.9	1694.9	2267.2	2719.5	2236.8	2096.4	2202.3	2556.0	2252.8	2584.2	2279.9	1908.0	2631.9	2085.4	2044.5	2785.7
GPX4	1723.7	1709.4	3049.3	1683.6	1995.9	1739.2	1966.4	1537.2	1710.7	1843.6	2082.4	1887.9	2276.1	1932.3	3054.4	1472.7	1800.7	1888.4
THBS1	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
THBS1	125.8	329.2	158.6	218.4	225.1	161.2	118.8	184.4	134.4	115.2	123.3	118.1	61.6	142.3	115.6	224.3	127.1	154.8
THBS1	71.2	131.7	94.0	78.0	82.7	54.6	89.1	50.0	98.0	85.6	50.0	50.0	50.0	50.0	109.7	117.2	50.0	50.0
THBS1	128.0	50.0	50.0	116.0	50.0	164.3	134.1	52.7	50.0	121.1	50.0	50.0	58.7	109.3	50.0	71.1	115.6	69.7
CSE1L	195.6	50.0	154.7	143.0	213.0	61.6	261.5	180.1	229.3	171.5	180.7	259.3	194.1	110.7	253.1	213.4	162.9	262.7
CSE1L	746.4	803.8	754.5	829.8	687.8	795.7	780.9	679.8	870.2	658.0	661.9	1003.4	679.2	678.5	1018.4	832.6	878.2	963.1
TUFM	2426.8	2685.5	3816.6	2041.3	2850.9	2629.9	2517.7	2500.3	2456.1	2045.0	2576.2	3042.4	2466.9	2937.5	3768.5	2520.3	2295.1	3094.1
PSMA7	1962.8	2672.5	2413.7	2362.6	3259.0	2601.1	2358.4	2280.3	2896.9	2168.1	2973.9	2396.4	2452.3	2138.8	2673.5	2642.6	2269.8	2936.3
POLD2	469.1	336.4	490.0	457.1	460.8	402.9	415.5	358.4	365.2	408.3	402.6	413.6	425.0	454.5	384.2	287.1	409.5	398.4
CPE	91.0	50.0	50.0	50.0	50.0	52.4	55.3	50.0	50.0	49.0	78.8	50.0	81.9	50.0	79.3	90.0	50.0	50.0
CPE	81.2	50.0	50.0	50.0	50.0	121.6	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	62.2	50.0
PGD	6434.5	6964.6	7767.3	6215.7	6496.6	8002.7	7790.8	6505.4	6753.6	6493.2	6365.4	6839.3	7877.8	6458.2	8201.7	6590.4	6990.1	8208.6
COX8A	4412.5	4042.6	3643.0	4297.2	4286.5	4011.0	4361.9	4285.7	4195.6	3993.3	3924.9	4132.6	4553.9	4831.6	4427.3	3861.9	2973.9	4465.2
PGRMC1	800.2	1163.8	768.8	597.0	1186.0	739.4	1036.7	835.2	407.9	924.3	815.7	624.4	1030.7	956.2	642.4	982.2	1089.1	665.4
PGRMC1	1264.4	1204.8	1433.1	1105.9	1378.5	1492.7	1267.4	1469.3	1456.7	1327.9	1220.9	1716.5	1634.0	1080.4	1045.5	1432.0	1276.6	914.3
EIF5A	1095.7	794.8	1046.9	880.4	1035.4	1284.3	642.6	632.0	912.8	1140.1	910.3	880.4	972.2	1117.2	1131.3	1037.2	986.5	830.2
