ID_REF	Mann1_4hr	Mann2_4hr	Mann3_4hr	Mann1_12hr	Mann2_12hr	Mann3_12hr	Mann1_24hr	Mann2_24hr	Mann3_24hr	MGd1_4hr	MGd2_4hr	MGd3_4hr	MGd1_12hr	MGd2_12hr	MGd3_12hr	MGd1_24hr	MGd2_24hr	MGd3_24hr
218872_at	1396.6	1650.0	1865.7	1380.8	1014.4	2705.5	1175.6	1391.9	1247.2	1609.9	1332.3	1843.4	1397.0	1271.0	3029.5	1672.2	1394.3	1728.6
218580_x_at	941.1	860.5	1304.3	815.6	1058.6	1142.2	974.8	923.5	1027.6	838.3	1152.7	1164.1	1050.8	1546.5	1379.5	1034.4	942.4	1234.7
220525_s_at	661.8	838.6	898.4	872.5	684.6	910.2	718.0	659.2	785.7	672.6	428.2	1071.5	750.6	817.1	959.6	882.8	789.6	827.7
201408_at	307.2	388.2	107.0	271.3	456.3	57.3	183.6	284.3	259.4	142.3	223.3	381.1	127.1	224.3	197.5	343.1	180.1	300.1
212725_s_at	1051.5	758.7	1150.6	771.4	789.6	948.4	1228.8	729.9	1241.5	1175.2	634.0	1127.8	1047.2	680.4	1003.0	1044.3	986.5	868.9
221229_s_at	245.0	266.4	259.0	205.7	227.4	369.6	237.5	176.8	327.9	343.3	206.8	219.5	258.1	180.3	234.0	386.9	232.2	337.6
221587_s_at	204.3	53.6	345.9	156.7	254.7	195.6	199.6	159.7	229.7	196.7	258.6	252.4	206.6	283.7	243.1	130.0	149.6	392.6
200726_at	1730.3	1029.4	1537.8	1191.9	1441.1	1437.5	1642.1	743.7	1675.8	1685.4	1236.2	1213.2	1703.8	857.3	1135.5	1853.8	1714.8	1616.0
217872_at	763.6	594.1	477.0	668.4	753.8	645.7	866.8	686.4	668.9	710.3	586.9	565.0	749.9	833.7	692.3	735.8	693.9	559.3
218852_at	228.9	121.6	108.9	200.9	219.3	156.1	256.9	221.8	202.3	182.6	180.0	174.6	243.0	129.4	110.6	233.5	174.7	249.0
218802_at	202.9	50.0	109.4	76.3	192.3	72.0	75.5	95.9	50.0	257.1	50.0	294.4	234.5	50.0	239.1	147.9	344.6	50.0
218272_at	49.0	172.0	131.2	50.0	185.3	128.3	180.5	411.5	160.4	74.6	166.0	182.7	145.6	72.7	116.3	50.0	173.2	75.5
212542_s_at	159.3	67.5	164.5	462.4	136.2	247.2	269.0	102.2	256.9	264.4	425.4	286.8	212.5	172.0	119.3	221.2	128.7	129.6
